season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,Marina Mabrey,CON,29,5-11,170,Notre Dame,USA,35,14.4,4.2,4,-12.8,1.50%,12.80%,24.80%,47.70%,24.40%
2025,Marine Johannes,NYL,31,5-10,134,None,France,44,6.4,1.9,1.6,6.4,1.70%,8.20%,17.00%,54.00%,13.40%
2025,Marième Badiane,MIN,31,6-4,181,None,France,3,0,0.3,0,-27.3,7.10%,0.00%,18.50%,0.00%,0.00%
2025,Marquesha Davis,CHI,24,6-0,-,Mississippi,USA,11,0.9,0.6,0.1,-13.7,6.50%,9.10%,16.00%,38.20%,4.20%
2025,Maya Caldwell,ATL,27,5-11,160,Georgia,USA,41,5.4,3.1,1.8,9.6,4.50%,11.90%,14.00%,54.20%,15.30%
2025,Megan Gustafson,LVA,29,6-4,195,Iowa,USA,20,3,1.8,0.3,-12.7,3.40%,12.90%,13.10%,47.20%,3.50%
2025,Megan McConnell,PHX,24,5-7,-,Duquesne,,1,3,1,3,-83.3,5.30%,0.00%,12.90%,37.50%,60.00%
2025,Mercedes Russell,LAS,30,6-6,195,Tennessee,USA,20,1.7,1.2,0.6,-16.8,5.70%,9.40%,10.80%,51.30%,15.40%
2025,Michaela Onyenwere,CHI,26,6-0,178,UCLA,USA,42,5.8,1.6,1.1,-10.9,2.40%,7.30%,17.60%,52.50%,11.90%
2025,Monique Akoa Makani,PHX,25,5-11,-,None,Cameroon,41,7.7,2.2,2.7,9.6,2.80%,7.30%,16.70%,55.60%,20.10%
2025,Monique Billings,GSV,30,6-4,192,UCLA,USA,26,7.3,4.5,0.5,-0.1,7.10%,15.10%,17.90%,54.50%,6.20%
2025,Moriah Jefferson,CHI,32,5-6,130,Connecticut,USA,5,1.4,1,1.8,-34.8,0.00%,15.20%,12.50%,43.80%,56.30%
2025,Murjanatu Musa,PHX,26,6-0,-,None,Nigeria,12,3.3,2.6,0.6,-19.8,14.40%,13.40%,16.40%,50.20%,11.30%
2025,Myisha Hines-Allen,DAL,30,6-1,200,Louisville,USA,40,7.6,6,2.9,-4.3,6.50%,21.30%,17.90%,52.90%,20.40%
2025,NaLyssa Smith,LVA,25,6-4,185,Baylor,USA,45,7.6,5.1,0.7,2.9,7.80%,16.60%,16.80%,54.40%,5.70%
2025,Napheesa Collier,MIN,29,6-1,180,Connecticut,USA,33,22.9,7.3,3.2,16.6,6.20%,16.60%,27.80%,63.60%,17.40%
2025,Natasha Cloud,NYL,34,5-10,160,St. Joseph's (PA),USA,41,10.1,3.7,5.1,5.5,1.30%,10.90%,17.10%,54.60%,28.00%
2025,Natasha Howard,IND,34,6-3,172,Florida State,USA,44,11.4,6.6,1.5,6.5,8.80%,19.60%,20.80%,59.50%,9.90%
2025,Natasha Mack,PHX,28,6-4,182,Oklahoma State,USA,34,4.7,5.8,0.9,10.8,12.60%,18.50%,10.80%,56.90%,7.30%
2025,Natisha Hiedeman,MIN,29,5-8,132,Marquette,USA,44,9.1,1.9,2.8,11.6,1.40%,8.30%,20.10%,59.30%,24.10%
2025,Naz Hillmon,ATL,26,6-2,190,Michigan,USA,44,8.6,6.2,2.4,14.5,6.30%,17.90%,14.80%,58.30%,14.50%
2025,Nia Coffey,ATL,30,6-1,182,Northwestern,USA,44,3.9,2.6,1,6.9,5.80%,18.30%,19.00%,50.30%,17.40%
2025,Nneka Ogwumike,SEA,35,6-2,190,Stanford,USA,44,18.3,7,2.3,5.3,4.30%,19.20%,24.50%,60.00%,13.20%
2025,Nyara Sabally,NYL,26,6-5,204,Oregon,Germany,17,5.4,4.5,0.8,-0.6,8.90%,15.70%,14.70%,52.90%,6.50%
