season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2023,Natasha Cloud,WAS,regular season,OReb% - Missed FGs,0.213,0.259,-0.05
2023,Natasha Cloud,WAS,regular season,At Rim OReb%,0.281,0.283,0
2023,Natasha Cloud,WAS,regular season,Short Mid-Range OReb%,0.227,0.349,-0.12
2023,Natasha Cloud,WAS,regular season,Long Mid-Range OReb%,0.202,0.264,-0.06
2023,Natasha Cloud,WAS,regular season,Arc 3 OReb%,0.187,0.192,0
2023,Natasha Cloud,WAS,regular season,Corner 3 OReb%,0.146,0.219,-0.07
2023,Natasha Cloud,WAS,regular season,At Rim DReb%,0.625,0.65,-0.02
2023,Natasha Cloud,WAS,regular season,Short Mid-Range DReb%,0.718,0.727,-0.01
2023,Natasha Cloud,WAS,regular season,Long Mid-Range DReb%,0.734,0.766,-0.03
2023,Natasha Cloud,WAS,regular season,Arc 3 DReb%,0.78,0.717,0.06
2023,Natasha Cloud,WAS,regular season,Corner 3 DReb%,0.72,0.815,-0.09
2023,Natasha Cloud,WAS,regular season,Blocks Recovered %,0.515,0.548,-0.03
2023,Natasha Cloud,WAS,regular season,Seconds Per Possession - Offense,15.13,15.694,-0.56
2023,Natasha Cloud,WAS,regular season,Seconds Per Possession - Defense,15.056,15.197,-0.14
2023,Natasha Cloud,WAS,regular season,At Rim Shot Frequency,0.237,0.243,-0.01
2023,Natasha Cloud,WAS,regular season,At Rim FG%,0.629,0.665,-0.04
2023,Natasha Cloud,WAS,regular season,At Rim % Assisted,0.595,0.533,0.06
2023,Natasha Cloud,WAS,regular season,Short Mid Range Shot Frequency,0.271,0.22,0.05
2023,Natasha Cloud,WAS,regular season,Short Mid Range FG%,0.395,0.411,-0.02
2023,Natasha Cloud,WAS,regular season,Short Mid Range % Assisted,0.537,0.417,0.12
2023,Natasha Cloud,WAS,regular season,Long Mid Range Shot Frequency,0.155,0.178,-0.02
2023,Natasha Cloud,WAS,regular season,Long Mid Range FG%,0.367,0.347,0.02
2023,Natasha Cloud,WAS,regular season,Long Mid % Assisted,0.621,0.561,0.06
2023,Natasha Cloud,WAS,regular season,Corner 3 Shot Frequency,0.073,0.083,-0.01
2023,Natasha Cloud,WAS,regular season,Corner 3 FG%,0.399,0.418,-0.02
2023,Natasha Cloud,WAS,regular season,Corner 3 % Assisted,0.966,1,-0.03
2023,Natasha Cloud,WAS,regular season,Arc 3 Shot Frequency,0.264,0.276,-0.01
2023,Natasha Cloud,WAS,regular season,Arc 3 FG%,0.315,0.322,-0.01
2023,Natasha Cloud,WAS,regular season,Arc 3 % Assisted,0.935,0.932,0
2023,Natasha Cloud,WAS,regular season,At Rim or 3pt Shot Frequency,0.574,0.602,-0.03
2023,Natasha Cloud,WAS,regular season,Non-Heave Arc 3 FG%,0.319,0.324,0
2023,Natasha Cloud,WAS,regular season,Shot Quality,0.488,0.48,0.01
2023,Natasha Cloud,WAS,regular season,Shooting Foul Drawn Rate,0.109,0.109,0
2023,Natasha Cloud,WAS,regular season,3pt Shooting Foul Drawn Rate,0.155,0.159,0
2023,Natasha Cloud,WAS,regular season,2pt Shooting Foul Drawn Rate,0.006,0.008,0
2023,Natasha Cloud,WAS,regular season,Second Chance Points%,0.1,0.124,-0.02
2023,Natasha Cloud,WAS,regular season,Penalty Points%,0.216,0.256,-0.04
2023,Natasha Cloud,WAS,regular season,Penalty Possessions%,0.219,0.281,-0.06
2023,Natasha Cloud,WAS,regular season,Avg 2pt Shot Distance,8.188,8.531,-0.34
2023,Natasha Cloud,WAS,regular season,Avg 3pt Shot Distance,25.171,24.88,0.29
2023,Natasha Cloud,WAS,regular season,Penalty Efficiency Excluding Last Minute Take Foul Possessions,99.612,91.556,8.06
2023,Natasha Cloud,WAS,regular season,DReb%,0.736,0.733,0
2023,Natasha Cloud,WAS,regular season,OReb%,0.207,0.251,-0.04
