team,team_slug,row_type,player,season_year,salary_cap_hit,pct_of_cap,pct_of_team,status,core_years,raw_value,source,source_url
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (ATL),2027,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (ATL),2028,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (ATL),2029,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 2 Pick ? (?) (ATL),2030,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (ATL),2027,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (ATL),2028,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (ATL),2029,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Atlanta Dream,atlanta-dream-11eaecc7-356c-1364-b611-2362f5011b0b,upcoming_draft_pick,2027 Round 3 Pick ? (?) (ATL),2030,,,,"$??,???  $??,???  $??,???",,"$??,???  $??,???  $??,???",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Azurá Stevens,2026,1000000,14.3,15.2,,,"$1,000,000  14.3%  15.2%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Azurá Stevens,2027,1050000,,15.7,,,"$1,050,000  $???,???  15.7%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Azurá Stevens,2028,1100000,,34.5,,,"$1,100,000  $???,???  34.5%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Azurá Stevens,2029,,,,UFA,,UFA,Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Skylar Diggins,2026,920000,13.1,14.0,,,"$920,000  13.1%  14.0%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
Chicago Sky,chicago-sky-11eaecc7-355f-1c4a-b611-2362f5011b0b,roster_player,Skylar Diggins,2027,940000,,14.1,,,"$940,000  $???,???  14.1%",Her Hoop Stats WNBA Salary Cap Database,https://herhoopstats.com/salary-cap-sheet/wnba/team/2026/
