player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1628317,Karlie Samuelson,karliesamuelson,2025,MIN,Guard,G,TBD,30.0,31.0,6-0,72.0,162.0,Stanford,USA,16.0,3.3,1.3,1.1,17.2,0.015,0.069,0.115,0.55,0.108
1642324,Kate Martin,katemartin,2025,GSV,Guard,G,20,25.0,26.0,6-0,72.0,172.0,Iowa,USA,42.0,6.2,2.7,1.0,-2.3,0.0279999999999999,0.13,0.2019999999999999,0.4589999999999999,0.109
1628957,Kathryn Westbeld,kathrynwestbeld,2025,PHX,Forward,F,24,30.0,31.0,6-3,75.0,,Notre Dame,USA,43.0,5.1,2.5,0.9,4.5,0.037,0.099,0.1369999999999999,0.482,0.077
203825,Kayla McBride,kaylamcbride,2025,MIN,Guard,G,21,33.0,34.0,5-11,71.0,185.0,Notre Dame,USA,39.0,14.2,2.3,3.5,12.5,0.009,0.064,0.1969999999999999,0.584,0.1689999999999999
203866,Kayla Thornton,kaylathornton,2025,GSV,Forward,F,5,33.0,34.0,6-1,73.0,190.0,Texas-El Paso,USA,22.0,14.0,7.0,1.5,2.1,0.0579999999999999,0.17,0.2269999999999999,0.493,0.096
1628909,Kelsey Mitchell,kelseymitchell,2025,IND,Guard,G,0,30.0,31.0,5-8,68.0,155.0,Ohio State,USA,44.0,20.2,1.8,3.4,6.0,0.013,0.044,0.264,0.574,0.188
1628276,Kelsey Plum,kelseyplum,2025,LAS,Guard,G,10,31.0,32.0,5-8,68.0,145.0,Washington,USA,43.0,19.5,3.1,5.7,-2.3,0.0069999999999999,0.0819999999999999,0.246,0.578,0.2739999999999999
1629568,Kennedy Burke,kennedyburke,2025,NYL,,,,29.0,30.0,6-1,73.0,182.0,UCLA,USA,36.0,8.1,2.4,1.3,4.4,0.0289999999999999,0.076,0.155,0.602,0.099
1628915,Kia Nurse,kianurse,2025,CHI,Guard,G,11,30.0,31.0,6-0,72.0,181.0,Connecticut,Canada,44.0,7.2,2.3,1.3,-16.0,0.018,0.088,0.165,0.496,0.099
204329,Kiah Stokes,kiahstokes,2025,LVA,Center,C,41,33.0,34.0,6-3,75.0,191.0,Connecticut,USA,40.0,1.1,3.6,0.4,-9.0,0.055,0.2189999999999999,0.06,0.4039999999999999,0.055
1630461,Kiana Williams,kianawilliams,2025,PHX,Guard,G,23,27.0,28.0,5-7,67.0,140.0,Stanford,USA,11.0,4.1,1.0,0.9,-14.8,0.0,0.088,0.198,0.539,0.192
1631006,Kierstan Bell,kierstanbell,2025,LVA,Forward,F,1,26.0,27.0,6-1,73.0,176.0,Florida Gulf Coast,USA,35.0,4.2,1.8,0.7,2.3,0.045,0.092,0.183,0.455,0.091
1642792,Kiki Iriafen,kikiiriafen,2025,WAS,Forward,F,44,22.0,23.0,6-3,75.0,,Southern California,,44.0,13.3,8.5,1.6,-4.1,0.104,0.2319999999999999,0.231,0.5479999999999999,0.111
